"","instance_file","model","a","b","c","d","residuals"
"213","holtschulte2013/ga100/f2/DIM20","DCMN",0,0,0,0,1e+06
"214","holtschulte2013/ga100/f2/DIM3","DCMN",0,0,0,0,1e+06
"215","holtschulte2013/ga100/f2/DIM40","DCMN",0,0,0,0,1e+06
"216","holtschulte2013/ga100/f2/DIM5","DCMN",0,0,0,0,1e+06
"217","holtschulte2013/ga100/f20/DIM10","DCMN",0,0,0,0,1e+06
"218","holtschulte2013/ga100/f20/DIM2","DCMN",0,0,0,0,1e+06
"219","holtschulte2013/ga100/f20/DIM20","DCMN",0,0,0,0,1e+06
"220","holtschulte2013/ga100/f20/DIM3","DCMN",0,0,0,0,1e+06
"221","holtschulte2013/ga100/f20/DIM40","DCMN",0,0,0,0,1e+06
"222","holtschulte2013/ga100/f20/DIM5","DCMN",0,0,0,0,1e+06
"223","holtschulte2013/ga100/f21/DIM10","DCMN",0,0,0,0,1e+06
"224","holtschulte2013/ga100/f21/DIM2","DCMN",0,0,0,0,1e+06
"225","holtschulte2013/ga100/f21/DIM20","DCMN",0,0,0,0,1e+06
"226","holtschulte2013/ga100/f21/DIM3","DCMN",0,0,0,0,1e+06
"227","holtschulte2013/ga100/f21/DIM40","DCMN",0,0,0,0,1e+06
"228","holtschulte2013/ga100/f21/DIM5","DCMN",0,0,0,0,1e+06
"229","holtschulte2013/ga100/f22/DIM10","DCMN",0,0,0,0,1e+06
"230","holtschulte2013/ga100/f22/DIM2","DCMN",0,0,0,0,1e+06
"231","holtschulte2013/ga100/f22/DIM20","DCMN",0,0,0,0,1e+06
"232","holtschulte2013/ga100/f22/DIM3","DCMN",0,0,0,0,1e+06
"233","holtschulte2013/ga100/f22/DIM40","DCMN",0,0,0,0,1e+06
"234","holtschulte2013/ga100/f22/DIM5","DCMN",0,0,0,0,1e+06
"235","holtschulte2013/ga100/f23/DIM10","DCMN",0,0,0,0,1e+06
"236","holtschulte2013/ga100/f23/DIM2","DCMN",0,0,0,0,1e+06
"237","holtschulte2013/ga100/f23/DIM20","DCMN",0,0,0,0,1e+06
"238","holtschulte2013/ga100/f23/DIM3","DCMN",0,0,0,0,1e+06
"239","holtschulte2013/ga100/f23/DIM40","DCMN",0,0,0,0,1e+06
"240","holtschulte2013/ga100/f23/DIM5","DCMN",0,0,0,0,1e+06
"241","holtschulte2013/ga100/f24/DIM10","DCMN",2.71432098972681,-3.0156951474038,-2.83503165854575,-0.110649643190508,0.00506815364443186
"242","holtschulte2013/ga100/f24/DIM2","DCMN",0,0,0,0,1e+06
"243","holtschulte2013/ga100/f24/DIM20","DCMN",2.93866100900784,-3.90132916366706,-4.01606040813014,-0.099201609313734,0.00309075684168113
"244","holtschulte2013/ga100/f24/DIM3","DCMN",1.97490451002937,-1.61989465796284,-1.97625795969097,-0.258749047581608,0.0152855819655792
"245","holtschulte2013/ga100/f24/DIM40","DCMN",3.21444235093949,-1.68363893374644,-7.69045045780996,-0.224123064762471,0.001772382027032
"246","holtschulte2013/ga100/f24/DIM5","DCMN",2.6919649060142,-2.91269848534155,-1.62586600064312,-0.113431605365052,0.00850399079357976
"247","holtschulte2013/ga100/f3/DIM10","DCMN",0,0,0,0,1e+06
"248","holtschulte2013/ga100/f3/DIM2","DCMN",0,0,0,0,1e+06
"249","holtschulte2013/ga100/f3/DIM20","DCMN",0,0,0,0,1e+06
"250","holtschulte2013/ga100/f3/DIM3","DCMN",0,0,0,0,1e+06
"251","holtschulte2013/ga100/f3/DIM40","DCMN",0,0,0,0,1e+06
"252","holtschulte2013/ga100/f3/DIM5","DCMN",0,0,0,0,1e+06
"253","holtschulte2013/ga100/f4/DIM10","DCMN",0,0,0,0,1e+06
"254","holtschulte2013/ga100/f4/DIM2","DCMN",0,0,0,0,1e+06
"255","holtschulte2013/ga100/f4/DIM20","DCMN",0,0,0,0,1e+06
"256","holtschulte2013/ga100/f4/DIM3","DCMN",0,0,0,0,1e+06
"257","holtschulte2013/ga100/f4/DIM40","DCMN",0,0,0,0,1e+06
"258","holtschulte2013/ga100/f4/DIM5","DCMN",0,0,0,0,1e+06
"259","holtschulte2013/ga100/f5/DIM10","DCMN",0,0,0,0,1e+06
"260","holtschulte2013/ga100/f5/DIM2","DCMN",0,0,0,0,1e+06
"261","holtschulte2013/ga100/f5/DIM20","DCMN",0,0,0,0,1e+06
"262","holtschulte2013/ga100/f5/DIM3","DCMN",0,0,0,0,1e+06
"263","holtschulte2013/ga100/f5/DIM40","DCMN",0,0,0,0,1e+06
"264","holtschulte2013/ga100/f5/DIM5","DCMN",0,0,0,0,1e+06
"265","holtschulte2013/ga100/f6/DIM10","DCMN",0,0,0,0,1e+06
"266","holtschulte2013/ga100/f6/DIM2","DCMN",0,0,0,0,1e+06
"267","holtschulte2013/ga100/f6/DIM20","DCMN",0,0,0,0,1e+06
"268","holtschulte2013/ga100/f6/DIM3","DCMN",0,0,0,0,1e+06
"269","holtschulte2013/ga100/f6/DIM40","DCMN",0,0,0,0,1e+06
"270","holtschulte2013/ga100/f6/DIM5","DCMN",0,0,0,0,1e+06
"271","holtschulte2013/ga100/f7/DIM10","DCMN",0,0,0,0,1e+06
"272","holtschulte2013/ga100/f7/DIM2","DCMN",0,0,0,0,1e+06
"273","holtschulte2013/ga100/f7/DIM20","DCMN",3.05450603328763,-2.36917528800598,-77.7058242910358,-0.63426293618065,0.0270883343217781
"274","holtschulte2013/ga100/f7/DIM3","DCMN",0,0,0,0,1e+06
"275","holtschulte2013/ga100/f7/DIM40","DCMN",3.45399988158658,-1.87474562611763,-60.8951142352459,-0.57464992956756,0.00664684597706516
"276","holtschulte2013/ga100/f7/DIM5","DCMN",0,0,0,0,1e+06
"277","holtschulte2013/ga100/f8/DIM10","DCMN",4.68221475802156,-4.60502478414185,-47.1675730304733,-0.561514652795788,0.0529889248454765
"278","holtschulte2013/ga100/f8/DIM2","DCMN",0,0,0,0,1e+06
"279","holtschulte2013/ga100/f8/DIM20","DCMN",0,0,0,0,1e+06
"280","holtschulte2013/ga100/f8/DIM3","DCMN",0,0,0,0,1e+06
"281","holtschulte2013/ga100/f8/DIM40","DCMN",0,0,0,0,1e+06
"282","holtschulte2013/ga100/f8/DIM5","DCMN",0,0,0,0,1e+06
"283","holtschulte2013/ga100/f9/DIM10","DCMN",4.47314602699154,-3.90098568515682,-76.6629826416525,-0.64952402291499,0.0335685801197618
"284","holtschulte2013/ga100/f9/DIM2","DCMN",0,0,0,0,1e+06
"285","holtschulte2013/ga100/f9/DIM20","DCMN",5.05362694710516,-3.90342418175492,-336.570699183485,-0.787701485585081,0.0169588471834825
"286","holtschulte2013/ga100/f9/DIM3","DCMN",0,0,0,0,1e+06
"287","holtschulte2013/ga100/f9/DIM40","DCMN",5.54370416243619,-3.99917860031493,-443.933084089196,-0.763713476678898,0.0119367965804004
"288","holtschulte2013/ga100/f9/DIM5","DCMN",0,0,0,0,1e+06
"289","holtschulte2013/hill/f1/DIM10","DCMN",0,0,0,0,1e+06
"290","holtschulte2013/hill/f1/DIM2","DCMN",0,0,0,0,1e+06
"291","holtschulte2013/hill/f1/DIM20","DCMN",0,0,0,0,1e+06
"292","holtschulte2013/hill/f1/DIM3","DCMN",0,0,0,0,1e+06
"293","holtschulte2013/hill/f1/DIM40","DCMN",0,0,0,0,1e+06
"294","holtschulte2013/hill/f1/DIM5","DCMN",0,0,0,0,1e+06
"295","holtschulte2013/hill/f10/DIM10","DCMN",6.82352352632493,-3.34523161764784,-5.60031185577517,-0.386305202142576,0.0436483361281017
"296","holtschulte2013/hill/f10/DIM2","DCMN",0,0,0,0,1e+06
